Created At Date,Payment Plan Name,Product Sub Category,Product Type,Currency Name,Product Price,Deposit,Daily Top Up,Loan Duration,Total Top Ups,Brand,Masterbrand,Model,Plan Type,Product Category,Variant,Mart Payment Plan ID,Payment Plan Status,Month,Year
2015-09-17 00:00:00, M-KOPA 4 v1 ,M-KOPA 4,Lights,KES,21249,2999,50,365,18250,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,87,Closed,Sep,2015
2015-12-01 00:00:00,M-KOPA 4 v2,M-KOPA 4,Lights,KES,21750,3500,50,365,18250,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,91,Closed,Dec,2015
2015-12-01 00:00:00,M-KOPA 4 Cash v1,M-KOPA 4,Lights,KES,17750,0,0,0,0,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,90,Closed,Dec,2015
2015-12-04 00:00:00,M-KOPA 4 Demo,M-KOPA 4,Lights,KES,15750,750,25,600,15000,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,92,Closed,Dec,2015
2015-12-04 00:00:00, M-KOPA 4 Staff ,M-KOPA 4,Lights,KES,15275,2500,35,365,12775,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,93,Active,Dec,2015
2015-12-22 00:00:00,M-KOPA 400 (K) v1,M-KOPA 400,Solar TV,KES,53624,7999,125,365,45625,M-KOPA,Solar,M-KOPA 400,Acquisition,MK TV,"16"" TV",97,Closed,Dec,2015
2015-12-23 00:00:00,M-KOPA 4 Staff F&F,M-KOPA 4,Lights,KES,17500,3500,50,280,14000,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,98,Closed,Dec,2015
2016-01-14 00:00:00,M-KOPA +400 (K) v1,M-KOPA +400,Solar TV,KES,40000,3500,50,730,36500,M-KOPA,Solar,M-KOPA +400,Upgrade,MK TV,"16"" TV",102,Closed,Jan,2016
2016-01-14 00:00:00, M-KOPA 400 (K) Cash v1,M-KOPA 400,Solar TV,KES,44999,0,0,0,0,M-KOPA,Solar,M-KOPA 400,Acquisition,MK TV,"16"" TV",103,Closed,Jan,2016
2016-02-17 00:00:00,M-KOPA +400 (K) v2,M-KOPA +400,Solar TV,KES,38000,1500,50,730,36500,M-KOPA,Solar,M-KOPA +400,Upgrade,MK TV,"16"" TV",104,Closed,Feb,2016
2016-02-19 00:00:00,M-KOPA 4 v3 Ceeco,M-KOPA 4,Lights,KES,22500,2500,50,400,20000,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,105,Active,Feb,2016
2016-02-23 00:00:00,M-KOPA 4 Staff Only,M-KOPA 4,Lights,KES,9825,700,25,365,9125,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,106,Closed,Feb,2016
2016-03-08 00:00:00,M-KOPA 400 v1,M-KOPA 400,Solar TV,KES,53624,7999,125,365,45625,M-KOPA,Solar,M-KOPA 400,Acquisition,MK TV,"16"" TV",110,Closed,Mar,2016
2016-03-21 00:00:00,M-KOPA 4 v4 Non-Ceeco,M-KOPA 4,Lights,KES,22750,2750,50,400,20000,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,114,Closed,Mar,2016
2016-04-06 00:00:00,M-KOPA +400 v1,M-KOPA +400,Solar TV,KES,38000,1500,50,730,36500,M-KOPA,Solar,M-KOPA +400,Upgrade,MK TV,"16"" TV",116,Closed,Apr,2016
2016-04-07 00:00:00,M-KOPA 400 Cash v1,M-KOPA 400,Solar TV,KES,44999,0,0,0,0,M-KOPA,Solar,M-KOPA 400,Acquisition,MK TV,"16"" TV",117,Closed,Apr,2016
2016-04-12 00:00:00,M-KOPA 4 v5 CSE-1,M-KOPA 4,Lights,KES,22500,2500,50,400,20000,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,118,Closed,Apr,2016
2016-04-19 00:00:00,M-KOPA 400 Cash v2,M-KOPA 400,Solar TV,KES,44999,0,0,0,0,M-KOPA,Solar,M-KOPA 400,Acquisition,MK TV,"16"" TV",119,Closed,Apr,2016
2016-04-19 00:00:00,M-KOPA 400 v2,M-KOPA 400,Solar TV,KES,53624,7999,125,365,45625,M-KOPA,Solar,M-KOPA 400,Acquisition,MK TV,"16"" TV",120,Closed,Apr,2016
2016-04-19 00:00:00,M-KOPA +400 v2,M-KOPA +400,Solar TV,KES,38000,1500,50,730,36500,M-KOPA,Solar,M-KOPA +400,Upgrade,MK TV,"16"" TV",121,Closed,Apr,2016
2016-05-26 00:00:00,M-KOPA 4 IndCh Cash v1,M-KOPA 4,Lights,KES,17750,0,0,0,0,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,129,Closed,May,2016
2016-05-26 00:00:00,M-KOPA 4 IndCh v1,M-KOPA 4,Lights,KES,21750,3500,50,365,18250,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,130,Closed,May,2016
2016-05-31 00:00:00,M-KOPA 4 Starter v1 ,M-KOPA 4 Starter,Lights - Refurbished,KES,19750,1500,50,365,18250,M-KOPA,Solar,M-KOPA 4 Starter,Acquisition,MK Starter,2 lights,132,Closed,May,2016
2016-05-31 00:00:00,M-KOPA 4 v6 2999,M-KOPA 4,Lights,KES,22999,2999,50,400,20000,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,131,Closed,May,2016
2016-06-09 00:00:00,M-KOPA +400 v3,M-KOPA +400,Solar TV,KES,40000,0,50,800,40000,M-KOPA,Solar,M-KOPA +400,Upgrade,MK TV,"16"" TV",133,Closed,Jun,2016
2016-07-05 00:00:00,M-KOPA 400 v3 no CSE ,M-KOPA 400,Solar TV,KES,54999,9999,125,360,45000,M-KOPA,Solar,M-KOPA 400,Acquisition,MK TV,"16"" TV",141,Closed,Jul,2016
2016-07-07 00:00:00,M-KOPA 4 IndCh v2,M-KOPA 4,Lights,KES,22999,2999,50,400,20000,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,145,Closed,Jul,2016
2016-08-09 00:00:00,M-KOPA 4 v7 Central,M-KOPA 4,Lights,KES,25000,2500,50,450,22500,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,146,Closed,Aug,2016
2016-08-14 00:00:00,M-KOPA 400 IndCh v1,M-KOPA 400,Solar TV,KES,54999,9999,125,360,45000,M-KOPA,Solar,M-KOPA 400,Acquisition,MK TV,"16"" TV",148,Closed,Aug,2016
2016-08-14 00:00:00,M-KOPA 400 IndCh Cash v1,M-KOPA 400,Solar TV,KES,44999,0,0,0,0,M-KOPA,Solar,M-KOPA 400,Acquisition,MK TV,"16"" TV",147,Closed,Aug,2016
2016-08-15 00:00:00,M-KOPA 4 IndCh v3 CSE-1,M-KOPA 4,Lights,KES,22500,2500,50,400,20000,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,150,Closed,Aug,2016
2016-08-15 00:00:00,M-KOPA 400 IndCh v2,M-KOPA 400,Solar TV,KES,53624,7999,125,365,45625,M-KOPA,Solar,M-KOPA 400,Acquisition,MK TV,"16"" TV",149,Closed,Aug,2016
2016-08-31 00:00:00,M-KOPA 4 v8 CSE-2,M-KOPA 4,Lights,KES,25000,2500,50,450,22500,M-KOPA,Solar,M-KOPA 4,Acquisition,MK Classic,3 lights,153,Closed,Aug,2016
